,Period,Expected Returns (%),Deviation (%),Drawdown (%),Underwater (days),symbol
Quarterly,Quarterly,10.274485949343777,14.885123672859853,-41.233058735108614,718.1666666666666,NFLX
Yearly,Yearly,37.05990178373067,37.64294453278977,-74.44693520771307,718.1666666666666,NFLX
Weekly,Weekly,-0.5033091060092124,7.8831447072806835,-74.50176273205659,776.0416666666666,NUVL
Monthly,Monthly,-1.5174067199739925,18.420892815748793,-94.50818769144378,776.0416666666666,NUVL
Quarterly,Quarterly,-9.025159325037377,15.7079171367767,-98.24187306309025,776.0416666666666,NUVL
Yearly,Yearly,-14.509127152153125,13.457155071463529,-98.24187306309025,776.0416666666666,NUVL
Weekly,Weekly,0.6701820578708401,5.465059513897155,-26.617760293698637,1162.2083333333333,NVDA
Monthly,Monthly,2.8848455253400482,12.502224045195137,-35.2778562362782,1162.2083333333333,NVDA
Quarterly,Quarterly,9.088634741656007,22.707931147024293,-49.404322413762024,1162.2083333333333,NVDA
Yearly,Yearly,35.55765083521082,47.57766297469228,-61.306213134039,1162.2083333333333,NVDA
Weekly,Weekly,1.2003408289234847,7.465508394642105,-23.62718390708542,160.16666666666666,PINS
Monthly,Monthly,5.053491815712472,14.900216599140164,-40.46472286897328,160.16666666666666,PINS
Quarterly,Quarterly,15.74115379923864,25.986758048639928,-52.21925136234679,160.16666666666666,PINS
Yearly,Yearly,38.04825735097873,36.72058134602279,-52.21925136234679,160.16666666666666,PINS
Weekly,Weekly,0.34028527155119825,3.7846160515165037,-11.56798544495169,767.1666666666666,PWR
Monthly,Monthly,1.4408891139038036,8.982031520040104,-23.487305763708356,767.1666666666666,PWR
Quarterly,Quarterly,4.443955883420862,12.938568297032155,-30.546474175923528,767.1666666666666,PWR
Yearly,Yearly,17.605362164536572,17.474299272327997,-35.87120523468019,767.1666666666666,PWR
Weekly,Weekly,0.012247687530655785,2.9135848534363054,-15.555222386879844,1666.1666666666667,RTX
Monthly,Monthly,0.10557230859532998,6.647971019629907,-28.68553564668589,1666.1666666666667,RTX
Quarterly,Quarterly,0.21037938399239065,8.943621757454812,-38.16013630769361,1666.1666666666667,RTX
Yearly,Yearly,1.6819635464839084,18.34278775961394,-38.16013630769361,1666.1666666666667,RTX
Weekly,Weekly,0.16314295193436945,5.684364414547852,-21.250403861714734,921.25,SBLK
Monthly,Monthly,1.0203219932212906,11.777724452617894,-47.55848525960297,921.25,SBLK
Quarterly,Quarterly,2.937762470807349,18.48689749718611,-47.55848525960297,921.25,SBLK
Yearly,Yearly,9.324810696792127,23.037694747286565,-62.25778972059328,921.25,SBLK
Weekly,Weekly,0.9983083594836103,7.123683206768252,-31.835965565554798,776.2083333333334,SE
Monthly,Monthly,4.382616538279498,16.887772325560015,-41.11172740122903,776.2083333333334,SE
Quarterly,Quarterly,14.372614926800095,29.304028798292077,-55.87513874171878,776.2083333333334,SE
Yearly,Yearly,54.84854607415269,67.35433906005603,-91.45534646865045,776.2083333333334,SE
Weekly,Weekly,0.3766404346082886,8.174358854625535,-27.72357717288384,813.0,SNAP
Monthly,Monthly,1.7428768517056537,16.92899096239687,-44.309283227218984,813.0,SNAP
Quarterly,Quarterly,4.541521623947197,26.312557006485218,-63.81219153801674,813.0,SNAP
Yearly,Yearly,28.90586279476715,57.12170861212189,-104.56863427833787,813.0,SNAP
Weekly,Weekly,0.11836762953647371,5.912190875488967,-25.346439069279263,1630.2916666666667,TDW
Monthly,Monthly,0.48509070100095564,12.595127034196988,-47.050889805545985,1630.2916666666667,TDW
Quarterly,Quarterly,1.7452256316204067,25.127507329304738,-71.89907285234682,1630.2916666666667,TDW
Yearly,Yearly,-6.120577189644619,45.96625626065667,-93.37690578272802,1630.2916666666667,TDW
Weekly,Weekly,0.3122166932636179,2.9182919352329386,-12.554858975176481,1054.2916666666667,TJX
Monthly,Monthly,1.376521374063837,7.097476315055198,-20.655823078735324,1054.2916666666667,TJX
Quarterly,Quarterly,3.959770571620465,14.12109333908295,-32.09936029417844,1054.2916666666667,TJX
Yearly,Yearly,18.178756577033447,40.96066352665365,-56.022279445499855,1054.2916666666667,TJX
Weekly,Weekly,10.568089286988357,111.71229336078339,-15.734682494901051,36.333333333333336,total
Monthly,Monthly,46.76715683156502,240.11738436107908,-15.734682494901051,36.333333333333336,total
Quarterly,Quarterly,137.87043447888587,398.79645737247813,-15.734682494901051,36.333333333333336,total
Yearly,Yearly,511.7166949440662,837.5432396947782,-15.734682494901051,36.333333333333336,total
